Title,Issue Number,Issue Name,Publisher,Cover Date Month,Cover Date Year,Writer(s),Penciller(s),Inker(s)
"Revival (2012)","#4","","Image Comics"," October","2012","Tim Seeley","Mike Norton","Mike Norton"
"Revival (2012)","#5","","Image Comics"," November","2012","Tim Seeley","Mike Norton","Mike Norton"
"Revival (2012)","#6","","Image Comics"," January","2013","Tim Seeley","Mike Norton","Mike Norton"
"Revival (2012)","#7","","Image Comics"," February","2013","Tim Seeley","Mike Norton","Mike Norton"
"Revival (2012)","#8","","Image Comics"," March","2013","Tim Seeley","Mike Norton","Mike Norton"
"Runaways (2015)","#1","Doomed Youth: Part One","Marvel"," August","2015","Noelle Stevenson","Sanford Greene","Sanford Greene"
"Runaways (2015)","#2","Doomed Youth: Part Two","Marvel"," September","2015","Noelle Stevenson","Sanford Greene","Sanford Greene"
"S.H.I.E.L.D. (2015)","#1","Active Mission: Perfect Bullets","Marvel"," February","2015","Mark Waid, Joe Quesada, (Unknown Creator), Mark Waid","Carlos Pacheco, Joe Quesada, (Unknown Creator), Carlos Pacheco","Mariano Taibo, Jason Paz, Joe Quesada, (Unknown Creator), Jason Paz"
"Saga (2012)","#1","Chapter One","Image Comics"," March","2012","Brian K. Vaughan","Fiona Staples","Fiona Staples"
"Saga (2012)","#2","Chapter Two","Image Comics"," April","2012","Brian K. Vaughan","Fiona Staples","Fiona Staples"
"Saga (2012)","#3","Chapter Three","Image Comics"," May","2012","Brian K. Vaughan","Fiona Staples","Fiona Staples"
"Saga (2012)","#4","Chapter Four","Image Comics"," June","2012","Brian K. Vaughan","Fiona Staples","Fiona Staples"
"Saga (2012)","#5","Chapter Five","Image Comics"," July","2012","Brian K. Vaughan","Fiona Staples","Fiona Staples"
"Saga (2012)","#6","Chapter Six","Image Comics"," August","2012","Brian K. Vaughan","Fiona Staples","Fiona Staples"
"Saga (2012)","#7","Chapter Seven","Image Comics"," November","2012","Brian K. Vaughan","Fiona Staples","Fiona Staples"
"Saga (2012)","#8","Chapter Eight","Image Comics"," December","2012","Brian K. Vaughan","Fiona Staples","Fiona Staples"
"Saga (2012)","#9","Chapter Nine","Image Comics"," January","2013","Brian K. Vaughan","Fiona Staples","Fiona Staples"
"Saga (2012)","#10","Chapter Ten","Image Comics"," February","2013","Brian K. Vaughan","Fiona Staples","Fiona Staples"
"Saga (2012)","#11","Chapter Eleven","Image Comics"," March","2013","Brian K. Vaughan","Fiona Staples","Fiona Staples"
"Saga (2012)","#12","Chapter Twelve","Image Comics"," April","2013","Brian K. Vaughan","Fiona Staples","Fiona Staples"
"Saga (2012)","#13","Chapter Thirteen","Image Comics"," August","2013","Brian K. Vaughan","Fiona Staples","Fiona Staples"
"Saga (2012)","#14","Chapter Fourteen","Image Comics"," September","2013","Brian K. Vaughan","Fiona Staples","Fiona Staples"
"Saga (2012)","#15","Chapter Fifteen","Image Comics"," October","2013","Brian K. Vaughan","Fiona Staples","Fiona Staples"
"Saga (2012)","#16","Chapter Sixteen","Image Comics"," November","2013","Brian K. Vaughan","Fiona Staples","Fiona Staples"
"Saga (2012)","#17","Chapter Seventeen","Image Comics"," December","2013","Brian K. Vaughan","Fiona Staples","Fiona Staples"
"Saga (2012)","#18","Chapter Eighteen","Image Comics"," January","2014","Brian K. Vaughan","Fiona Staples","Fiona Staples"
"Saga (2012)","#19","Chapter Nineteen","Image Comics"," May","2014","Brian K. Vaughan","Fiona Staples","Fiona Staples"
"Saga (2012)","#20","Chapter Twenty","Image Comics"," June","2014","Brian K. Vaughan","Fiona Staples","Fiona Staples"
"Saga (2012)","#21","Chapter Twenty One","Image Comics"," July","2014","Brian K. Vaughan","Fiona Staples","Fiona Staples"
"Saga (2012)","#22","Chapter Twenty Two","Image Comics"," August","2014","Brian K. Vaughan","Fiona Staples","Fiona Staples"
"Saga (2012)","#23","Chapter Twenty Three","Image Comics"," September","2014","Brian K. Vaughan","Fiona Staples","Fiona Staples"
"Saga (2012)","#24","Chapter Twenty Four","Image Comics"," October","2014","Brian K. Vaughan","Fiona Staples","Fiona Staples"
"Saga (2012)","#25","Chapter Twenty Five","Image Comics"," February","2015","Brian K. Vaughan","Fiona Staples","Fiona Staples"
"Saga (2012)","#26","Chapter Twenty Six","Image Comics"," March","2015","Brian K. Vaughan","Fiona Staples","Fiona Staples"
"Saga (2012)","#27","Chapter Twenty Seven","Image Comics"," April","2015","Brian K. Vaughan","Fiona Staples","Fiona Staples"
"Saga (2012)","#28","Chapter Twenty Eight","Image Comics"," May","2015","Brian K. Vaughan","Fiona Staples","Fiona Staples"
"Saga (2012)","#29","Chapter Twenty Nine","Image Comics"," June","2015","Brian K. Vaughan","Fiona Staples","Fiona Staples"
"Saga (2012)","#30","Chapter Thirty","Image Comics"," July","2015","Brian K. Vaughan","Fiona Staples","Fiona Staples"
"Saga (2012)","#31","Chapter Thirty One","Image Comics"," November","2015","Brian K. Vaughan","Fiona Staples","Fiona Staples"
"Saga (2012)","#32","Chapter Thirty Two","Image Comics"," December","2015","Brian K. Vaughan","Fiona Staples","Fiona Staples"
"Saga (2012)","#33","Chapter Thirty Three","Image Comics"," January","2016","Brian K. Vaughan","Fiona Staples","Fiona Staples"
"Saga (2012)","#34","Chapter Thirty Four","Image Comics"," February","2016","Brian K. Vaughan","Fiona Staples","Fiona Staples"
"Saga (2012)","#35","Chapter Thirty Five","Image Comics"," March","2016","Brian K. Vaughan","Fiona Staples","Fiona Staples"
"Saga (2012)","#36","Chapter Thirty Six","Image Comics"," April","2016","Brian K. Vaughan","Fiona Staples","Fiona Staples"
"Saga (2012)","#37","Chapter Thirty Seven","Image Comics"," August","2016","Brian K. Vaughan","Fiona Staples","Fiona Staples"
"Saga (2012)","#38","Chapter Thirty Eight","Image Comics"," September","2016","Brian K. Vaughan","Fiona Staples","Fiona Staples"
"Saga (2012)","#39","Chapter Thirty Nine","Image Comics"," October","2016","Brian K. Vaughan","Fiona Staples","Fiona Staples"
"Saga (2012)","#40","Chapter Forty","Image Comics"," November","2016","Brian K. Vaughan","Fiona Staples","Fiona Staples"
"Saga (2012)","#41","Chapter Forty One","Image Comics"," December","2016","Brian K. Vaughan","Fiona Staples","Fiona Staples"
"Saga (2012)","#42","Chapter Forty Two","Image Comics"," January","2017","Brian K. Vaughan","Fiona Staples","Fiona Staples"
"Satellite Sam (2013)","#1","The Big Fade Out","Image Comics"," July","2013","Matt Fraction","Howard V. Chaykin","Howard V. Chaykin"
"Secret Wars (2015)","#1","The End Times","Marvel"," July","2015","Jonathan Hickman","Esad T. Ribic","Esad T. Ribic"
"Secret Wars (2015)","#2","Doom Messiah","Marvel"," July","2015","Jonathan Hickman","Esad T. Ribic","Esad T. Ribic"
"Secret Wars (2015)","#3","The Eye of Doom","Marvel"," August","2015","Jonathan Hickman","Esad T. Ribic","Esad T. Ribic"
"Secret Wars (2015)","#4","All the Angels Sing, All the Devils Dance","Marvel"," September","2015","Jonathan Hickman","Esad T. Ribic","Esad T. Ribic"
"Secret Wars (2015)","#5","Owen Reece Died For Our Sins","Marvel"," October","2015","Jonathan Hickman","Esad T. Ribic","Esad T. Ribic"
"Secret Wars (2015)","#6","We Raise Them Up... Just So We Can Pull Them Down.","Marvel"," December","2015","Jonathan Hickman","Esad T. Ribic","Esad T. Ribic"
"Secret Wars (2015)","#7","King of the Dead","Marvel"," January","2016","Jonathan Hickman","Esad T. Ribic","Esad T. Ribic"
"Secret Wars (2015)","#8","Under Siege","Marvel"," February","2016","Jonathan Hickman","Esad T. Ribic","Esad T. Ribic"
"Secret Wars (2015)","#9","Beyond","Marvel"," March","2016","Jonathan Hickman","Esad T. Ribic","Esad T. Ribic"
"Secret Wars: Battleworld (2015)","#1","","Marvel"," July","2015","Ed Brisson, Joshua Williamson","Mike Henderson, Scott Hepburn","Mike Henderson, Scott Hepburn"
"Secret Wars: Battleworld (2015)","#2","","Marvel"," August","2015","Donny C. Cates, David F. Walker","Marco Turini, Juvaun J. Kirby","Juvaun J. Kirby, Marco Turini"
"Sex Criminals (2013)","TPB vol. 01","One Weird Trick","Image Comics"," April","2014","Matt Fraction","Chip Zdarsky","Chip Zdarsky"
"Sex Criminals (2013)","#1","Suzie Down in the Quiet","Image Comics"," September","2013","Matt Fraction","Chip Zdarsky","Chip Zdarsky"
"Sex Criminals (2013)","#6","Coming On","Image Comics"," June","2014","Matt Fraction","Chip Zdarsky","Chip Zdarsky"
"Sex Criminals (2013)","#7","Break, Enter","Image Comics"," August","2014","Matt Fraction","Chip Zdarsky","Chip Zdarsky"
"Sex Criminals (2013)","#8","Robert Rainbow","Image Comics"," October","2014","Matt Fraction","Chip Zdarsky","Chip Zdarsky"
"Sex Criminals (2013)","#9","Ana","Image Comics"," December","2014","Matt Fraction","Chip Zdarsky","Chip Zdarsky"
"Sex Criminals (2013)","#10","Alone Together","Image Comics"," January","2015","Matt Fraction","Chip Zdarsky","Chip Zdarsky"
"Sex Criminals (2013)","#11","Manime","Image Comics"," June","2015","Matt Fraction","Chip Zdarsky","Chip Zdarsky"
"Sex Criminals (2013)","#12","We Think It's the Fluids That Keep Getting Us Banned On iTunes and Android","Image Comics"," September","2015","Matt Fraction","Chip Zdarsky","Chip Zdarsky"
"Sex Criminals (2013)","#13","Bace","Image Comics"," October","2015","Matt Fraction","Chip Zdarsky","Chip Zdarsky"
"Sex Criminals (2013)","#14","Ladies Please","Image Comics"," February","2016","Matt Fraction","Chip Zdarsky","Chip Zdarsky"
"Sex Criminals (2013)","#15","The Crew","Image Comics"," April","2016","Matt Fraction","Chip Zdarsky","Chip Zdarsky"
"She-Hulk (2014)","#1","Motion","Marvel"," April","2014","Charles D. Soule","Javier Pulido - 'Francisco Javier Pulido Rodriguez'","Javier Pulido - 'Francisco Javier Pulido Rodriguez'"
"Silver Surfer (2014)","#1","The Most Important Person in the Universe","Marvel"," May","2014","Dan Slott","Michael Dalton 'Mike' Allred - 'Doc'","Michael Dalton 'Mike' Allred - 'Doc'"
"Silver Surfer (2014)","#2","Everything and All at Once","Marvel"," June","2014","Dan Slott","Michael Dalton 'Mike' Allred - 'Doc'","Michael Dalton 'Mike' Allred - 'Doc'"
"Silver Surfer (2014)","#3","Change of Heart","Marvel"," August","2014","Dan Slott","Michael Dalton 'Mike' Allred - 'Doc'","Michael Dalton 'Mike' Allred - 'Doc'"
"Silver Surfer (2014)","#4","Earthly Needs","Marvel"," September","2014","Dan Slott","Michael Dalton 'Mike' Allred - 'Doc'","Michael Dalton 'Mike' Allred - 'Doc'"
"Silver Surfer (2014)","#5","New Dawn","Marvel"," October","2014","Dan Slott","Michael Dalton 'Mike' Allred - 'Doc'","Michael Dalton 'Mike' Allred - 'Doc'"
"Silver Surfer (2014)","#6","Imperfections","Marvel"," December","2014","Dan Slott","Michael Dalton 'Mike' Allred - 'Doc'","Michael Dalton 'Mike' Allred - 'Doc'"
"Silver Surfer (2014)","#7","We are Sailors on a Endless Sea of Night","Marvel"," January","2015","Dan Slott","Michael Dalton 'Mike' Allred - 'Doc'","Michael Dalton 'Mike' Allred - 'Doc'"
"Silver Surfer (2014)","#8","Worlds Apart","Marvel"," March","2015","Dan Slott","Michael Dalton 'Mike' Allred - 'Doc'","Michael Dalton 'Mike' Allred - 'Doc'"
"Silver Surfer (2014)","#9","Slingshot","Marvel"," April","2015","Dan Slott","Michael Dalton 'Mike' Allred - 'Doc'","Michael Dalton 'Mike' Allred - 'Doc'"
"Silver Surfer (2014)","#10","Small Sacrifice","Marvel"," May","2015","Dan Slott","Michael Dalton 'Mike' Allred - 'Doc'","Michael Dalton 'Mike' Allred - 'Doc'"
"Silver Surfer (2014)","#11","Never After","Marvel"," June","2015","Dan Slott","Michael Dalton 'Mike' Allred - 'Doc'","Michael Dalton 'Mike' Allred - 'Doc'"
"Silver Surfer (2014)","#12","The New Life of Norrin Radd","Marvel"," August","2015","Dan Slott","Michael Dalton 'Mike' Allred - 'Doc'","Michael Dalton 'Mike' Allred - 'Doc'"
"Silver Surfer (2014)","#13","The Death of Everything That Ever Was Or Ever Will Be","Marvel"," September","2015","Dan Slott","Michael Dalton 'Mike' Allred - 'Doc'","Michael Dalton 'Mike' Allred - 'Doc'"
"Silver Surfer (2014)","#14","Hard Restart","Marvel"," November","2015","Dan Slott","Michael Dalton 'Mike' Allred - 'Doc'","Michael Dalton 'Mike' Allred - 'Doc'"
"Silver Surfer (2014)","#15","Your Universe","Marvel"," January","2016","Dan Slott","Michael Dalton 'Mike' Allred - 'Doc'","Michael Dalton 'Mike' Allred - 'Doc'"
"Snotgirl (2016)","#1","01. No New Friends","Image Comics"," July","2016","Bryan Lee O'Malley","Leslie Hung","Leslie Hung"
"Southern Bastards (2014)","#1","Here Was A Man part one","Image Comics"," April","2014","Jason Aaron","Jason Latour - 'D. Jason Latour'","Jason Latour - 'D. Jason Latour'"
"Spider-Gwen [I] (2015)","#1","Most Wanted? Part 1","Marvel"," April","2015","Jason Latour - 'D. Jason Latour'","Robbi Rodriguez","Robbi Rodriguez"
"Spider-Gwen [I] (2015)","#2","Most Wanted? Part 2","Marvel"," May","2015","Jason Latour - 'D. Jason Latour'","Robbi Rodriguez","Robbi Rodriguez"
"Spider-Gwen [I] (2015)","#3","Most Wanted? Part 3","Marvel"," June","2015","Jason Latour - 'D. Jason Latour'","Robbi Rodriguez","Robbi Rodriguez"
"Spider-Gwen [I] (2015)","#4","Most Wanted? Part 4","Marvel"," July","2015","Jason Latour - 'D. Jason Latour'","Robbi Rodriguez","Robbi Rodriguez"
"Spider-Gwen [I] (2015)","#5","Most Wanted? Part 5","Marvel"," August","2015","Jason Latour - 'D. Jason Latour'","Robbi Rodriguez","Robbi Rodriguez"
"Spider-Man (2016)","#1","","Marvel"," April","2016","Brian Michael Bendis","Sara Pichelli","Sara Pichelli, Gaetano Carlucci"
"Spider-Man 2099 (2014)","#1","","Marvel"," September","2014","Peter Allen David - 'PAD'","Will Sliney","Will Sliney"
"Spider-Man 2099 (2014)","#2","Women & Secrets","Marvel"," October","2014","Peter Allen David - 'PAD'","Will Sliney","Will Sliney"
"Spider-Man 2099 (2014)","#3","","Marvel"," November","2014","Peter Allen David - 'PAD'","Will Sliney","Will Sliney"
"Spider-Man 2099 (2014)","#4","","Marvel"," December","2014","Peter Allen David - 'PAD'","Will Sliney","Will Sliney"
"Spider-Man 2099 (2014)","#5","","Marvel"," December","2014","Peter Allen David - 'PAD'","Rick Leonardi","John Livesay"
"Spider-Man 2099 (2014)","#6","","Marvel"," January","2015","Peter Allen David - 'PAD'","Will Sliney","Will Sliney"
"Spider-Man 2099 (2014)","#7","","Marvel"," March","2015","Peter Allen David - 'PAD'","Will Sliney","Will Sliney"
"Spider-Man 2099 (2014)","#8","","Marvel"," March","2015","Peter Allen David - 'PAD'","Will Sliney","Will Sliney"
"Spider-Men (2012)","#1","","Marvel"," August","2012","Brian Michael Bendis","Sara Pichelli","Sara Pichelli"
"Spider-Men (2012)","#2","","Marvel"," August","2012","Brian Michael Bendis","Sara Pichelli","Sara Pichelli"
"Spider-Men (2012)","#3","","Marvel"," September","2012","Brian Michael Bendis","Sara Pichelli","Sara Pichelli"
"Spider-Men (2012)","#4","","Marvel"," October","2012","Brian Michael Bendis","Sara Pichelli","Sara Pichelli"
"Spider-Verse [II] (2015)","#1","","Marvel"," July","2015","Mike Costa","André Lima Araújo, Steven 'Steve' Sanders","André Lima Araújo, Steven 'Steve' Sanders"
"Spider-Women Alpha  (2016)","#1","","Marvel"," June","2016","Robbie Thompson, Jason Latour - 'D. Jason Latour', Dennis Hopeless","Vanesa R. Del Rey","Vanesa R. Del Rey"
"Star Wars (2015)","#1","Book I Skywalker Strikes","Marvel"," March","2015","Jason Aaron","John Cassaday","John Cassaday"
"Star Wars (2015)","#2","Book I, Part II Skywalker Strikes","Marvel"," April","2015","Jason Aaron","John Cassaday","John Cassaday"
"Superior Spider-Man (2013)","#1","Hero Or Menace?","Marvel"," March","2013","Dan Slott","Ryan David Stegman","Ryan David Stegman"
"Superior Spider-Man (2013)","#2","The Peter Principle","Marvel"," March","2013","Dan Slott","Ryan David Stegman","Ryan David Stegman"
"Superior Spider-Man (2013)","#3","Everything You Know Is Wrong","Marvel"," April","2013","Dan Slott","Ryan David Stegman","Ryan David Stegman"
"Superior Spider-Man (2013)","#4","The Aggressive Approach","Marvel"," April","2013","Dan Slott","Giuseppe Camuncoli - 'Cammo'","John Dell III"
"Superior Spider-Man (2013)","#5","Emotional Triggers","Marvel"," May","2013","Dan Slott","Giuseppe Camuncoli - 'Cammo'","John Dell III, Giuseppe Camuncoli - 'Cammo'"
"Superior Spider-Man (2013)","#6","Joking Hazard","Marvel"," May","2013","Dan Slott","Humberto Ramos","Victor Olazaba - 'Vinktor'"
"Superior Spider-Man (2013)","#6 AU","Doomsday Scenario","Marvel"," May","2013","Christos N. Gage","Dexter Soy","Dexter Soy"
"Superior Spider-Man (2013)","#7","Troubled Mind Part One: Right-Hand Man","Marvel"," June","2013","Dan Slott","Humberto Ramos","Victor Olazaba - 'Vinktor'"
"Superior Spider-Man (2013)","#8","Troubled Mind Part Two: Proof Positive","Marvel"," June","2013","Dan Slott","Humberto Ramos","Victor Olazaba - 'Vinktor'"
"Superior Spider-Man (2013)","#9","Troubled Mind Part Three: Gray Matters","Marvel"," July","2013","Dan Slott","Ryan David Stegman","Ryan David Stegman"
"Superior Spider-Man (2013)","#10","Independence Day","Marvel"," July","2013","Dan Slott","Ryan David Stegman","Ryan David Stegman, Cam Smith"
"Superior Spider-Man (2013)","#11","No Escape Part One: A Lock For Every Key","Marvel"," August","2013","Dan Slott, Christos N. Gage","Giuseppe Camuncoli - 'Cammo'","John Dell III"
"Superior Spider-Man (2013)","#12","No Escape Part Two: Lockdown","Marvel"," August","2013","Dan Slott, Christos N. Gage","Giuseppe Camuncoli - 'Cammo'","Terry Pallot, John Dell III"
"Superior Spider-Man (2013)","#13","No Escape Part Three: The Slayers & the Slain","Marvel"," September","2013","Dan Slott, Christos N. Gage","Giuseppe Camuncoli - 'Cammo'","Terry Pallot, John Dell III"
"Superior Spider-Man (2013)","#14","A Blind Eye","Marvel"," September","2013","Dan Slott","Humberto Ramos","Victor Olazaba - 'Vinktor'"
"Superior Spider-Man (2013)","#15","Run Goblin, Run! Part 1: The Tinkerer's Apprentice","Marvel"," October","2013","Dan Slott","Humberto Ramos","Victor Olazaba - 'Vinktor'"
"Superior Spider-Man (2013)","#16","Run, Goblin, Run! Part 2: Kill Phil","Marvel"," October","2013","Dan Slott","Humberto Ramos","Victor Olazaba - 'Vinktor'"
"Superior Spider-Man (2013)","#17","Necessary Evil Part 1: Let's Do the Time Warp Again!","Marvel"," November","2013","Dan Slott","Ryan David Stegman","John Livesay"
"Superior Spider-Man (2013)","#18","Necessary Evil Part 2: Smack to the Future","Marvel"," November","2013","Dan Slott","Ryan David Stegman","John Livesay"
"Superior Spider-Man (2013)","#19","Necessary Evil Part 3: Event Horizon","Marvel"," December","2013","Dan Slott","Ryan David Stegman","John Livesay"
"Superior Spider-Man (2013)","#20","Still Standing","Marvel"," December","2013","Dan Slott","Giuseppe Camuncoli - 'Cammo'","John Dell III"
"Superior Spider-Man (2013)","#21","Lethal Ladies","Marvel"," January","2014","Dan Slott","Giuseppe Camuncoli - 'Cammo'","John Dell III"
"Superior Spider-Man (2013)","#22","Darkest Hours, Part 1: Beginnings","Marvel"," January","2014","Dan Slott, Christos N. Gage","Humberto Ramos","Victor Olazaba - 'Vinktor'"
"Superior Spider-Man (2013)","#23","Darkest Hours, Part 2: Complications","Marvel"," February","2014","Dan Slott, Christos N. Gage","Humberto Ramos","Victor Olazaba - 'Vinktor'"
"Superior Spider-Man (2013)","#24","Darkest Hours, Part 3: The Superior Venom","Marvel"," February","2014","Dan Slott, Christos N. Gage","Humberto Ramos","Victor Olazaba - 'Vinktor'"
"Superior Spider-Man (2013)","#25","Darkest Hours, Part 4: Conclusion","Marvel"," March","2014","Dan Slott, Christos N. Gage","Humberto Ramos","Victor Olazaba - 'Vinktor'"
"Superior Spider-Man (2013)","#26","Goblin Nation, Prelude: Goblin Wars","Marvel"," March","2014","Dan Slott","Javier Rodriguez, Humberto Ramos, Marcos Martin","Victor Olazaba - 'Vinktor', Marcos Martin, Álvaro López - 'Bakadori'"
"Superior Spider-Man (2013)","#27","Goblin Nation Part One","Marvel"," April","2014","Dan Slott","Giuseppe Camuncoli - 'Cammo'","John Dell III"
"Superior Spider-Man (2013)","#28","Goblin Nation, Part 2 of 5","Marvel"," April","2014","Dan Slott","Giuseppe Camuncoli - 'Cammo'","John Dell III"
"Superior Spider-Man (2013)","#29","Goblin Nation, Part 3 of 5","Marvel"," May","2014","Dan Slott, Christos N. Gage","Giuseppe Camuncoli - 'Cammo'","John Dell III"
"Superior Spider-Man (2013)","#30","","Marvel"," May","2014","Dan Slott, Christos N. Gage, Nathan Edmondson","Giuseppe Camuncoli - 'Cammo', Phil Noto","Terry Pallot, John Dell III, Phil Noto"
"Superior Spider-Man (2013)","#31","","Marvel"," June","2014","Dan Slott, Christos N. Gage, Christos N. Gage, Dan Slott","Giuseppe Camuncoli - 'Cammo', Will Sliney, Michael Dalton 'Mike' Allred - 'Doc'","John Dell III, Terry Pallot, Will Sliney, Michael Dalton 'Mike' Allred - 'Doc'"
"Superior Spider-Man (2013)","#32","","Marvel"," October","2014","Dan Slott, Christos N. Gage, Christos N. Gage","Giuseppe Camuncoli - 'Cammo', Adam Kubert","John Dell III, Adam Kubert"
"Superior Spider-Man (2013)","#33","","Marvel"," November","2014","Christos N. Gage, Dan Slott, Christos N. Gage","Giuseppe Camuncoli - 'Cammo', Miguel Angel Sepulveda","John Dell III, Miguel Angel Sepulveda"
"Superman Unchained (2013)","#1","The Leap","DC Comics"," August","2013","Scott Snyder, Scott Snyder, Scott Snyder, Jim Lee","Dustin Nguyen, Jim Lee, Jim Lee","Scott Williams, Scott Williams, Scott Williams, (Scanned From Pencils)"
"Superman Unchained (2013)","#2","The Fall","DC Comics"," September","2013","Scott Snyder, Scott Snyder","Dustin Nguyen, Jim Lee","Scott Williams"
"Superman: American Alien (2016)","#3","Parrot","DC Comics"," March","2016","Max Landis","Mark Buckingham, Joëlle Jones","Mark Buckingham, Joëlle Jones"
"Superman: American Alien (2016)","#6","Angel","DC Comics"," June","2016","Max Landis","Jonathan Case","Jonathan Case"
"Superwoman (2016)","#1","Who is Superwoman?","DC Comics"," October","2016","Phil Jimenez","Phil Jimenez","Matt Santorelli"
"Supreme Blue Rose (2014)","TPB","Supreme Blue Rose","Image Comics"," July","2015","Warren Ellis","Tula Lotay","Tula Lotay"
"Swamp Thing (2016)","#1","The Dead Don't Sleep!","DC Comics"," March","2016","Len Wein","Kelley Jones","Kelley Jones"
"Swamp Thing (2011)","#12","Rotworld Prologue: Part 2","DC Comics"," October","2012","Scott Snyder, Jeff Lemire","Marco Rudy","Marco Rudy, Andy Owens, Daniel 'Dan' Green"
"Swamp Thing (2011)","#17","RotWorld: War Of The Rot Part Two","DC Comics"," April","2013","Scott Snyder, Jeff Lemire","Andy Belanger","Andy Belanger"
"Sweet Tooth (2009)","TPB vol. 01","Out of the Deep Woods","DC Comics"," ","2010","Jeff Lemire","Jeff Lemire","Jeff Lemire"
"Teen Titans (2014)","#1","Blinded by the Light Part 1","DC Comics"," September","2014","Will Pfeifer","Kenneth Rocafort","Kenneth Rocafort"
"Ten Grand (2013)","#1","Blood Oath","Image Comics"," May","2013","Joseph Michael Straczynski Sr. - 'JMS'","Ben Templesmith","Ben Templesmith"
"Ten Grand (2013)","#2","Angels never lie","Image Comics"," June","2013","Joseph Michael Straczynski Sr. - 'JMS'","Ben Templesmith","Ben Templesmith"
"Ten Grand (2013)","#3","Dark and Terrible Things","Image Comics"," July","2013","Joseph Michael Straczynski Sr. - 'JMS'","Ben Templesmith","Ben Templesmith"
"The Amazing Spider-Man (2014)","#1","","Marvel"," June","2014","Dan Slott, Christos N. Gage, Dan Slott, Dan Slott, Christos N. Gage, Joe Caramagna, Peter Allen David - 'PAD', Christopher Yost, Dan Slott, Charles D. Soule, Dan Slott","Humberto Ramos, Javier Rodriguez, Giuseppe Camuncoli - 'Cammo', Chris Eliopoulos - '(principally a letterer)', Will Sliney, David Baldeon, Ramón K. Pérez, Joe Madureira - 'Joe Mad!'","Chris Eliopoulos - '(principally a letterer)', Victor Olazaba - 'Vinktor', Victor Olazaba - 'Vinktor', Álvaro López - 'Bakadori', John Dell III, Cam Smith, Will Sliney, Jordi Tarragona, Ramón K. Pérez, Joe Madureira - 'Joe Mad!'"
"The Amazing Spider-Man (2015)","#1","","Marvel"," December","2015","Dan Slott, Peter Allen David - 'PAD', Robbie Thompson, Dennis Hopeless, Mike Costa, Dan Slott, Christos N. Gage, Anthony Holden","Giuseppe Camuncoli - 'Cammo', Will Sliney, Stacey Lee, Javier Rodriguez, David Baldeon, Paco Diaz, Anthony Holden","Cam Smith, Will Sliney, Stacey Lee, Álvaro López - 'Bakadori', Scott Hanna, Paco Diaz, Anthony Holden"
"The Amazing Spider-Man (2014)","#2","","Marvel"," July","2014","Dan Slott","Humberto Ramos","Victor Olazaba - 'Vinktor'"
"The Amazing Spider-Man (2015)","#2","Water Proof","Marvel"," December","2015","Dan Slott","Giuseppe Camuncoli - 'Cammo'","Cam Smith"
"The Amazing Spider-Man (2014)","#3","","Marvel"," August","2014","Dan Slott","Humberto Ramos","Victor Olazaba - 'Vinktor'"
"The Amazing Spider-Man (2015)","#3","Friendly Fire","Marvel"," January","2016","Dan Slott","Giuseppe Camuncoli - 'Cammo'","Cam Smith"
"The Amazing Spider-Man (2014)","#4","","Marvel"," September","2014","Dan Slott","Humberto Ramos","Victor Olazaba - 'Vinktor'"
"The Amazing Spider-Man (2014)","#5","","Marvel"," October","2014","Dan Slott","Humberto Ramos","Victor Olazaba - 'Vinktor'"
"The Amazing Spider-Man (2014)","#6","","Marvel"," November","2014","Dan Slott","Humberto Ramos","Victor Olazaba - 'Vinktor'"
"The Amazing Spider-Man (2014)","#7","","Marvel"," December","2014","Christos N. Gage, Dan Slott","Giuseppe Camuncoli - 'Cammo'","Cam Smith"
"The Amazing Spider-Man (2014)","#8","","Marvel"," December","2014","Dan Slott, Christos N. Gage, Dan Slott","Giuseppe Camuncoli - 'Cammo', Humberto Ramos","Cam Smith, Victor Olazaba - 'Vinktor'"
"The Amazing Spider-Man (2014)","#9","","Marvel"," January","2015","Dan Slott","Olivier Coipel, Giuseppe Camuncoli - 'Cammo'","Olivier Coipel, Cam Smith"
"The Amazing Spider-Man (2014)","#10","Spider-Verse Part Two: Superior Force","Marvel"," January","2015","Dan Slott","Olivier Coipel","Wade Von Grawbadger"
"The Amazing Spider-Man (2014)","#11","Spider-Verse Part Three: Higher Ground","Marvel"," February","2015","Dan Slott","Olivier Coipel","Wade Von Grawbadger, Olivier Coipel, John Livesay, Victor Olazaba - 'Vinktor', Mark Morales"
"The Amazing Spider-Man (2014)","#12","Spider-Verse Part Four: Anywhere but Here","Marvel"," March","2015","Dan Slott","Giuseppe Camuncoli - 'Cammo'","Cam Smith"
"The Amazing Spider-Man (2014)","#13","Spider-Verse Part Five: Spider-Men: No More","Marvel"," March","2015","Dan Slott","Giuseppe Camuncoli - 'Cammo'","Cam Smith"
"The Amazing Spider-Man (2014)","#14","Spider-Verse Part Six: Web Warriors","Marvel"," April","2015","Dan Slott","Olivier Coipel, Giuseppe Camuncoli - 'Cammo'","Wade Von Grawbadger, Cam Smith, John Livesay"
"The Amazing Spider-Man (2014)","#15","Spider-Verse Epilogue","Marvel"," April","2015","Dan Slott","Giuseppe Camuncoli - 'Cammo'","Cam Smith, Roberto Poggi"
